title,budget,revenue,vote_average,vote_count,release_date,runtime,genres,original_language
The Call,0,0,7.534,807,2020-11-27,112,"Thriller, Mystery, Science Fiction",ko
Alone,0,0,5.829,167,2020-10-23,92,"Horror, Thriller",en
The Doorman,0,307873,5.824,407,2020-10-01,97,"Action, Thriller",en
Sex Education for the Sister-in-law,0,0,5.6,4,2020-03-05,73,"Drama, Romance",ko
Save Yourselves!,0,0,5.818,192,2020-10-02,93,"Comedy, Science Fiction",en
Last Sister Class,0,0,5.2,5,2020-05-01,73,"Drama, Romance",ko
The King of Staten Island,35000000,2200000,7.008,987,2020-07-22,137,"Comedy, Drama",en
My Mother's Lovers,0,0,2.8,5,2020-05-29,22,Drama,es
Relic,1229578,3238539,6.1,718,2020-07-03,89,"Horror, Mystery, Thriller",en
We Summon the Darkness,0,190760,5.4,227,2020-08-28,91,"Horror, Thriller",en
The Broken Hearts Gallery,0,0,7.181,310,2020-09-11,109,"Comedy, Romance",en
One Night in Miami...,0,0,7.024,634,2020-12-25,114,Drama,en
The Superdeep,0,596370,6.0,277,2020-11-04,113,"Horror, Science Fiction, Thriller",ru
Here We Are: Notes for Living on Planet Earth,0,0,7.6,67,2020-04-16,37,"Animation, Family",en
The Secret Garden,0,889816,6.341,573,2020-07-08,99,"Family, Fantasy, Drama",en
Follow Me,0,3551439,6.28,486,2020-07-03,88,"Horror, Thriller",en
I Still Believe,12000000,16069730,7.614,1162,2020-03-12,115,"Music, Drama, Romance",en
Spell,0,500104,6.449,381,2020-10-30,91,"Thriller, Horror, Fantasy",en
"Yes, God, Yes",0,0,6.3,515,2020-07-24,78,"Drama, Comedy",en
The Bay of Silence,0,1941,4.441,94,2020-08-20,93,Thriller,en
Brothers by Blood,0,0,5.793,169,2020-09-08,90,Crime,en
2 Hearts,0,0,7.369,572,2020-10-16,100,"Romance, Drama",en
Last and First Men,0,0,6.5,110,2020-02-25,72,"Drama, Science Fiction",en
Sound of Metal,0,516520,7.726,2480,2020-11-20,120,"Drama, Music",en
